"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","es","bv","el","er","S"
"07:18:33.628","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","69","0","0","0,0,0,0,0,4095,4095"
"07:18:33.928","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","66","0","0","0,0,0,0,0,4095,4095"
"07:18:34.228","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","68","0","0","0,0,0,0,0,4095,4095"
"07:18:34.529","0","0","0","0","0","0","0","0","20","0","0","1","0","36","0","0","0","0","255","1","0","0","0","","66","0","0","0,0,0,0,0,4095,4095"
"07:18:39.969","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","255","1","0","0","0","","0","0","0","0,0,0,0,0,0,0"
"07:18:40.272","0","0","0","0","0","0","0","0","30","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","80","0","0","0,0,0,0,0,4095,4095"
"07:18:46.872","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","73","0","0","0,0,0,0,0,4095,4095"
"07:18:47.172","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","73","0","0","0,0,0,0,0,4095,4095"
"07:18:47.469","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","73","0","0","0,0,0,0,0,4095,4095"
"07:18:47.773","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","75","0","0","0,0,0,0,0,4095,4095"
"07:18:48.072","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","72","0","0","0,0,0,0,0,4095,4095"
"07:18:48.372","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","75","0","0","0,0,0,0,0,4095,4095"
"07:18:48.670","0","0","0","0","0","0","0","0","20","0","0","1","0","0","0","0","0","0","255","1","0","0","0","","76","0","0","0,0,0,0,0,4095,4095"
