"time","L","R","T","out","pidL","pidR","sentL","sentR","pos","lost","deep","junc","jc","yw","u","sm","rd","sg","ar","rdir","s2","lt","rs","bv","el","er","S"
"05:49:46.260","0","0","0","0","0","0","0","0","45","0","0","0","0","68","0","0","0","0","255","1","0","0","0","109","0","51","4095,4095,4095,4095,4095,4095,4095"
"05:51:55.362","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:55.661","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:55.961","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:56.262","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,2730,0,0,4095,4095,4095"
"05:51:56.561","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:56.861","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","110","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:57.161","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:57.461","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","108","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:57.762","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:58.061","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,2730,4095,4095"
"05:51:58.361","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","0","4095,4095,0,0,4095,4095,4095"
"05:51:58.661","0","0","28","0","52","87","1022","1177","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","6","4095,4095,0,0,4095,4095,4095"
"05:51:58.961","0","43","28","70","52","87","1022","967","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","20","4095,4095,0,0,4095,4095,4095"
"05:51:59.262","0","40","28","72","54","89","1024","969","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","32","4095,4095,0,0,4095,4095,4095"
"05:51:59.561","0","40","28","76","58","93","1144","973","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","44","4095,4095,0,0,4095,4095,4095"
"05:51:59.861","0","40","28","80","63","98","1247","978","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","108","0","56","4095,4095,0,0,4095,4095,4095"
"05:52:00.161","0","40","28","85","68","103","1323","983","25","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","68","4095,4095,0,0,4095,4095,4095"
"05:52:00.461","0","40","28","90","40","165","1366","1045","15","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","81","4095,0,0,4095,4095,4095,4095"
"05:52:00.761","0","43","28","92","42","167","1439","1047","15","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","94","4095,0,0,4095,4095,4095,4095"
"05:52:01.061","0","46","28","94","44","169","1512","1049","15","0","0","0","0","0","0","0","0","0","255","1","0","0","0","109","0","108","4095,0,0,4095,4095,4095,4095"
"05:52:01.361","0","46","28","98","20","310","890","1110","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","110","0","122","0,0,4095,4095,4095,4095,4095"
"05:52:01.661","0","50","28","97","20","309","890","1109","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","108","0","137","0,0,4095,4095,4095,4095,4095"
"05:52:01.961","0","50","28","100","20","313","890","1113","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","0","153","0,0,4095,4095,4095,4095,4095"
"05:52:02.261","0","53","28","99","20","311","890","1111","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","0","169","0,0,4095,4095,4095,4095,4095"
"05:52:02.562","0","50","28","104","20","316","890","1116","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","0","184","0,0,4095,4095,4095,4095,4095"
"05:52:02.861","0","50","28","105","20","317","890","1117","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","108","0","200","0,0,4095,4095,4095,4095,4095"
"05:52:03.161","0","53","28","103","20","316","890","1116","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","109","0","216","0,0,4095,4095,4095,4095,4095"
"05:52:03.461","0","53","28","105","20","318","890","1118","5","0","1","0","0","0","0","0","0","0","255","1","0","0","0","110","0","231","0,0,4095,4095,4095,4095,4095"
"05:52:03.762","0","53","28","106","56","181","1158","1061","15","0","0","0","0","1","0","0","0","0","255","1","0","0","0","109","0","246","4095,0,0,4095,4095,4095,4095"
"05:52:04.061","0","46","28","114","76","152","1264","1032","20","0","0","0","0","2","0","0","0","0","255","1","0","0","0","109","0","261","4095,0,0,0,4095,4095,4095"
"05:52:04.361","0","46","28","115","77","152","1336","1032","20","0","0","0","0","1","0","0","0","0","255","1","0","0","0","109","0","274","4095,0,0,0,4095,4095,4095"
